"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
10788,"3TA0","small_airport","Four Square Ranch Airport",30.096900939941406,-100.40499877929688,2250,"NA","US","US-TX","Rocksprings","no",,,"3TA0","3TA0",,,
10790,"3TA2","small_airport","Clark Sky Ranch Airport",29.736489,-96.062679,145,"NA","US","US-TX","Sealy","no",,,"3TA2","3TA2",,,
10791,"3TA3","heliport","Baltzell's Las Brisas Heliport",29.588451,-98.946197,1165,"NA","US","US-TX","Lakehills","no",,,"3TA3","3TA3",,,
10792,"3TA4","small_airport","Tin Top Ranch Airport",31.48579978942871,-98.9760971069336,1300,"NA","US","US-TX","Brownwood","no",,,"3TA4","3TA4",,,
10793,"3TA5","small_airport","Blanco Landing Airport",30.122467,-98.374783,1460,"NA","US","US-TX","Blanco","no",,,"3TA5","3TA5",,,
10794,"3TA6","small_airport","Spring Ranch Airport",29.541900634765625,-100.25299835205078,1440,"NA","US","US-TX","Brackettville","no",,,"3TA6","3TA6",,,
10795,"3TA7","small_airport","Jim Sears Airport",33.140104,-97.804184,900,"NA","US","US-TX","Paradise","no",,,"3TA7","3TA7",,,
10796,"3TA8","small_airport","Picosa Ranch Airport",28.71969985961914,-100.05500030517578,600,"NA","US","US-TX","Crystal City","no",,,"3TA8","3TA8",,,
10797,"3TA9","small_airport","Chacon Creek Ranch Airport",28.708599090576172,-100.00700378417969,595,"NA","US","US-TX","Crystal City","no",,,"3TA9","3TA9",,,
10798,"3TE","small_airport","Al Meyers Airport",42.025101,-83.939201,815,"NA","US","US-MI","Tecumseh","no",,,,"3TE",,"https://en.wikipedia.org/wiki/Meyers%E2%80%93Diver%27s_Airport","0MI7, Meyers-Diver's Airport"
10799,"3TE0","small_airport","K Ranch Airport",30.731599807739258,-96.131103515625,285,"NA","US","US-TX","Iola","no",,,"3TE0","3TE0",,,
10800,"3TE1","small_airport","Gum Island Airport",29.95159912109375,-94.90440368652344,53,"NA","US","US-TX","Dayton","no",,,"3TE1","3TE1",,,
10801,"3TE2","heliport","Texas Commerce Bank Building Heliport",29.758800506591797,-95.36380004882812,458,"NA","US","US-TX","Houston","no",,,"3TE2","3TE2",,,
325674,"3TE3","small_airport","Lazy Dog Ranch Airpark",33.074013,-96.432,600,"NA","US","US-TX","Nevada","no",,,"3TE3","3TE3",,,
10803,"3TE4","small_airport","Hot Springs Airport",30.008801,-104.665001,3071,"NA","US","US-TX","Presidio","no",,,"3TE4","3TE4",,,
10804,"3TE5","small_airport","Stamps Field",35.33060073852539,-101.38500213623047,3445,"NA","US","US-TX","Panhandle","no",,,"3TE5","3TE5",,,
10805,"3TE6","small_airport","Skellytown Airport",35.56999969482422,-101.16899871826172,3280,"NA","US","US-TX","Skellytown","no",,,"3TE6","3TE6",,,
10807,"3TE8","small_airport","Terlingua Airport",29.319401,-103.584,2717,"NA","US","US-TX","Terlingua","no",,,"3TE8","3TE8",,,
10808,"3TE9","closed","Pinoak Airport",30.105801,-94.958801,91,"NA","US","US-TX","Dayton","no",,,,,,,"3TE9"
10809,"3TN0","small_airport","Indian Springs Airport",36.535,-82.423889,1580,"NA","US","US-TN","Kingsport","no",,,"3TN0","3TN0",,,
10810,"3TN1","heliport","Methodist Hospital-North Heliport",35.23400115966797,-89.89289855957031,346,"NA","US","US-TN","Memphis","no",,,"3TN1","3TN1",,,
10811,"3TN2","closed","Merian Seaplane Base",35.821701,-84.611,740,"NA","US","US-TN","Kingston","no",,,,,,,"3TN2"
10812,"3TN3","small_airport","Wayne's World Airport",36.264622,-88.755541,440,"NA","US","US-TN","Dresden","no",,,"3TN3","3TN3",,,
10813,"3TN4","closed","Kenner Farm Airport",35.881036,-83.726641,940,"NA","US","US-TN","Seymour","no",,,,,,,"3TN4"
10814,"3TN5","heliport","Holston Valley Medical Center Heliport",36.553643,-82.552815,1270,"NA","US","US-TN","Kingsport","no",,,"3TN5","3TN5",,,"Wellmont"
10815,"3TN6","small_airport","Wilson Field",35.0968017578125,-89.28060150146484,435,"NA","US","US-TN","Memphis","no",,,"3TN6","3TN6",,,
10816,"3TN7","heliport","Pigeon Forge Heliport",35.724300384521484,-83.63929748535156,1400,"NA","US","US-TN","Pigeon Forge","no",,,"3TN7","3TN7",,,
10817,"3TN8","small_airport","Massingale Airport",35.763999938964844,-84.1874008178711,840,"NA","US","US-TN","Lenoir City","no",,,"3TN8","3TN8",,,
10818,"3TN9","small_airport","Holenthawall Airport",36.61330032348633,-86.810302734375,645,"NA","US","US-TN","Springfield","no",,,"3TN9","3TN9",,,
10819,"3TS0","small_airport","East Side Airport",32.50849914550781,-94.70020294189453,373,"NA","US","US-TX","Longview","no",,,"3TS0","3TS0",,,
10820,"3TS1","small_airport","White Wings Airport",30.01140022277832,-98.04049682617188,1083,"NA","US","US-TX","Wimberley","no",,,"3TS1","3TS1",,,
